,kalori,protein,karbohidrat,lemak
Daun katuk rebus,53.0,5.3,9.1,0.9
Daun katuk segar,59.0,6.4,9.9,1.0
Daun Kecipir,47.0,5.0,8.5,0.5
Daun Kedondong,59.0,2.8,13.4,0.3
Daun Kelor,82.0,6.7,14.3,1.7
Daun Kelor rebus,61.0,6.1,10.0,0.9
Daun Kemangi,46.0,4.0,8.9,0.5
Daun kenikir segar,45.0,3.7,6.6,0.5
Daun kesum segar,48.0,4.5,9.1,0.8
Daun kol sawi segar,22.0,2.1,3.6,0.5
Daun Koro,23.0,3.0,3.7,0.3
Daun kubis segar,51.0,2.5,8.0,1.1
Daun Kumak,14.0,1.3,2.3,0.3
Daun Labu Siam,60.0,4.0,4.7,0.4
Daun Labu Waluh,30.0,3.6,4.5,0.6
Daun lamtoro segar,87.0,8.3,14.4,1.8
Daun leilem segar,76.0,2.8,15.8,0.2
Daun Leunca,45.0,4.7,8.1,0.5
Daun Lobak,30.0,2.3,5.8,0.4
Daun Lompong Tales,40.0,3.0,7.4,0.8
Daun Mangkokan,54.0,3.7,11.8,0.3
Daun matel ambon segar,71.0,6.8,11.5,1.6
Daun Melinjo,99.0,5.0,21.3,1.3
Daun Mengkudu Kukus,63.0,3.8,11.5,1.5
Daun ndusuk segar,166.0,1.7,38.8,0.5
Daun Oyong,22.0,1.0,5.3,0.1
Daun oyong segar,22.0,1.0,5.3,0.1
Daun Pakis,35.0,4.0,6.4,0.3
Daun pakis longgiho segar,54.0,2.2,3.1,3.6
Daun pakis segar,39.0,4.5,6.9,0.4
Daun pakis wambateu segar,53.0,3.4,7.2,1.2
Daun paku segar,29.0,3.4,6.5,0.1
Daun pangisegar,104.0,3.9,17.9,0.6
Daun pare segar,49.0,2.7,8.4,1.0
Daun pepaya segar,87.0,8.0,11.9,2.0
Daun Pete Cina,128.0,12.0,12.4,6.5
Daun Poh-pohan,37.0,2.5,6.9,0.8
Daun salam  bubuk,301.0,14.2,49.0,10.9
Daun selasih segar,62.0,4.0,10.5,0.5
Daun Semanggi,45.0,4.4,0.5,8.0
Daun semanggi segar,45.0,4.4,8.5,0.5
Daun simpur segar,53.0,3.2,7.6,2.5
Daun singkil segar,68.0,2.0,15.2,1.0
Daun Singkong,73.0,6.8,13.0,1.2
Daun singkong ambon segar,144.0,12.7,25.2,1.2
Daun singkong ampenan segar,50.0,6.2,7.1,1.1
Daun singkong kopang segar,74.0,6.3,10.7,0.7
Daun Singkong lodeh,55.0,4.0,8.5,0.5
Daun Singkong rebus,31.0,3.7,4.8,0.6
Daun singkong segar,50.0,6.2,7.1,1.1
Daun Sintrong,36.0,2.6,6.1,0.9
Daun talas rebus,27.0,1.3,5.9,0.2
Daun talas segar,59.0,3.0,13.5,0.4
Daun Tales,71.0,4.1,12.3,2.1
Daun Tales rebus,27.0,1.3,5.9,0.2
Daun tespong segar,70.0,2.9,13.9,0.3
Daun Ubi Jalar,47.0,2.8,10.4,0.4
Daun Ubi Jalar kukus,56.0,3.1,13.0,0.3
Daun ubi kuning segar,62.0,3.7,11.1,0.3
Daun ubi merah kukus,56.0,3.1,13.0,0.3
Daun ubi merah segar,48.0,3.0,10.8,0.3
Daun ubi putih segar,46.0,2.8,8.2,0.2
Daun ubi tinta segar,55.0,1.7,11.9,0.1
Deblo ,260.0,2.0,53.0,15.0
Dendeng belut goreng,382.0,55.7,8.0,14.1
Dendeng Daging Sapi,433.0,55.0,0.0,9.0
Dendeng mujahir goreng,598.0,74.3,9.2,26.9
Dideh darah ayam,77.0,13.8,0.7,1.9
Dideh darah sapi,104.0,21.9,0.0,1.1
